input parameters,baseline,objective
m_pl,30,60
v_cruise,45,45
v_max,80,80
endur_time_10k,8,12
endur_time_15k,6,10
h_max,15000,17000
GTOW,250,150
T_max,49,49
T_min,-20,-20
reserve_time,20,20
Engine_power,40,25
P_gen,750,750
rho,1.225,1.225
v_climb,49.0338168,49.0338168
wing_span,264,264
root_chord,18,18
taper_chord,18,18
hover_time,0.016666667,0.016666667
climb_time,0.084975362,0.096305418
cruise_time,8,12
descent_time,0.084975369,0.096305418
reserve,0.333333333,0.333333333
DL,30,30
FOM,0.75,0.75
e,0.6,0.6
w_DL,30,30
w_FOM,0.75,0.75
w_e,0.6,0.6
w_propuls,0.75,0.75
surf/wing_area,10,10
skin_coeff,0.0065,0.0065
